datetime,open,high,low,close,vol
2026-08-20 21:00:00,71917.9,72082.3,71068.5,71505,994113.38
2026-08-20 20:00:00,71891.3,72003,71452.7,71917.9,793495.31
2026-08-20 19:00:00,71969.9,72299.4,71777,71891.3,552604.79
2026-08-20 18:00:00,71778.9,72492.9,71680.1,71969.8,1008022.7
2026-08-20 17:00:00,71550,72059.3,71456,71778.9,1036305.54
2026-08-20 16:00:00,69820,71794.9,69776.9,71549.9,2574912.62
2026-08-20 15:00:00,69828.5,70030.3,69483,69819.9,535614.75
2026-08-20 14:00:00,69402.2,69915,69334,69828.4,439743.49
2026-08-20 13:00:00,69480.1,69650,69343.1,69402.1,239399.45
2026-08-20 12:00:00,69180.1,69600,69149.2,69480,236143.02
2026-08-20 11:00:00,69292.2,69339.6,68878.4,69180.1,464205.19
2026-08-20 10:00:00,69694.8,69796.4,69238.9,69292.3,363669.08
2026-08-20 09:00:00,69395.7,69859,69250,69694.8,436151.81
2026-08-20 08:00:00,69307.9,69769.1,69285.4,69395.7,488735.03
2026-08-20 07:00:00,69236.2,69438,69130.8,69307.8,256105.62
2026-08-20 06:00:00,69698.9,69824,68942.6,69236.2,546451.94
2026-08-20 05:00:00,69025.2,70054,68958.6,69698.9,1097387.99
2026-08-20 04:00:00,68405,69576.6,68355.9,69025.2,970163.94
2026-08-20 03:00:00,68362.2,68456,68068.7,68405,326327.33
2026-08-20 02:00:00,68176.4,68440.5,68010.2,68362.3,324993.67
2026-08-20 01:00:00,68444,68520,67802,68176.3,942595.48
2026-08-20 00:00:00,68530,68994,68388.4,68444.1,895443.96
2026-08-19 23:00:00,65894.6,70099.2,65856.4,68530.1,6389929.9
2026-08-19 22:00:00,64983,65980,64983,65894.6,2032927.64
2026-08-19 21:00:00,64853,65188,64764.9,64982.9,1171708.99
2026-08-19 20:00:00,64477.6,64957,64435.8,64852.9,905035.46
2026-08-19 19:00:00,64425.1,64518.9,64420,64477.6,160305.97
2026-08-19 18:00:00,64392.3,64435.2,64336.7,64425,93567.67
2026-08-19 17:00:00,64382.4,64444,64326,64392.3,104520.36
2026-08-19 16:00:00,64266.1,64486.4,64220,64382.4,256328.01
2026-08-19 15:00:00,64319.5,64375,64245.4,64266.1,203153.81
2026-08-19 14:00:00,64213.5,64321.5,64141.9,64319.6,229544.24
2026-08-19 13:00:00,64292.9,64391.4,64200,64213.5,157800.26
